T,szG,sz1DMFGS,sz2DMFGS,sz3DMFGS
176.001,0.0190124597582097,0.1033426078549422,0.14513809530621793,0.1759295702812934
177.001,0.018905148032711067,0.10278923588360828,0.144380130405952,0.17503494738321954
178.001,0.01879904033522703,0.10224166855234862,0.14362980526855526,0.17414896304680472
179.001,0.01869411652459596,0.10169981645923146,0.14288700881047123,0.17327149954620988
180.001,0.018590356906190236,0.1011635919974033,0.14215163200613382,0.17240244113099062
181.001,0.018487742219615744,0.10063290931111774,0.14142356784294635,0.1715416739894069
182.001,0.018386253626815396,0.1001076842530233,0.14070271127735257,0.170689086212374
183.001,0.018285872700560535,0.09958783434266841,0.13998895919197227,0.16984456775804915
184.001,0.018186581413318165,0.09907327872618332,0.13928221035377514,0.16900801041705185
185.001,0.018088362126476576,0.09856393813710307,0.1385823653732665,0.16817930777830792
186.001,0.017991197579918183,0.098059734858294,0.13788932666465886,0.16735835519551606
187.001,0.017895070881925823,0.09756059268494763,0.13720299840700745,0.16654504975422638
188.001,0.017799965499410098,0.09706643688861044,0.13652328650628065,0.16573929023952674
189.001,0.017705865248446112,0.09657719418221439,0.135850098558346,0.1649409771043276
190.001,0.017612754285108112,0.09609279268607684,0.1351833438128472,0.16415001243824245
191.001,0.01752061709659128,0.09561316189484179,0.13452293313794741,0.16336629993704815
192.001,0.01742943849261025,0.09513823264532895,0.1338687789859209,0.16258974487272748
193.001,0.0173392035970637,0.09466793708526611,0.13322079535956727,0.16182025406407602
194.001,0.017249897839957146,0.09420220864287432,0.13257889777943088,0.16105773584787253
195.001,0.01716150694957211,0.09374098199728165,0.13194300325180208,0.16030210005060194
196.001,0.017074016944875425,0.09328419304973806,0.1313130302374823,0.15955325796071895
197.001,0.016987414128159267,0.09283177889560834,0.13068889862129235,0.158811122301453
198.001,0.016901685077902046,0.09238367779711776,0.13007052968230598,0.15807560720413377
199.001,0.016816816641846005,0.091939829156828,0.12945784606478872,0.15734662818204018
200.001,0.016732795930280348,0.0915001734918223,0.12885077174982507,0.15662410210475708
201.001,0.016649610309525276,0.0910646524085752,0.12824923202761665,0.15590794717303225
202.001,0.01656724739560861,0.09063320857848953,0.1276531534704335,0.15519808289412884
203.001,0.01648569504812894,0.09020578571407842,0.12706246390620124,0.15449443005765925
204.001,0.016404941364299097,0.08978232854577364,0.1264770923927103,0.15379691071189497
205.001,0.016324974673162546,0.08936278279934115,0.12589696919242804,0.15310544814054575
206.001,0.016245783529979407,0.08894709517388602,0.12532202574790124,0.15241996683999337
207.001,0.016167356710773323,0.08853521332042935,0.1247521946577321,0.15174039249697938
208.001,0.01608968320703602,0.0881270858210397,0.12418740965311395,0.15106665196673164
209.001,0.01601275222058307,0.08772266216850266,0.12362760557491231,0.15039867325152687
210.001,0.015936553158556993,0.08732189274651347,0.12307271835127687,0.14973638547967677
211.001,0.015861075628571197,0.08692472881037658,0.12252268497577243,0.14907971888493238
212.001,0.015786309433991785,0.08653112246819733,0.12197744348601325,0.1484286047862974
213.001,0.015712244569351275,0.08614102666255219,0.12143693294279007,0.1477829755682433
214.001,0.01563887121589136,0.08575439515262218,0.12090109340967686,0.1471427646613176
215.001,0.015566179737229263,0.08537118249677811,0.12036986593310459,0.14650790652313872
216.001,0.01549416067514428,0.08499134403560249,0.11984319252288997,0.14587833661976812
217.001,0.01542280474548044,0.08461483587533725,0.1193210161332095,0.14525399140745424
218.001,0.015352102834162218,0.0842416148717437,0.1188032806440052,0.1446348083147399
219.001,0.015282045993318505,0.08387163861436447,0.11828993084281295,0.14402072572492503
220.001,0.015212625437512395,0.0835048654111743,0.11778091240700223,0.14341168295887913
221.001,0.015143832540073093,0.0831412542736101,0.11727617188641626,0.14280762025819693
222.001,0.015075658829526661,0.08278076490196873,0.11677565668640416,0.1422084787686862
223.001,0.01500809598612271,0.08242335767116252,0.11627931505123346,0.1416142005241866
224.001,0.014941135838453828,0.08206899361682207,0.11578709604787427,0.14102472843070973
225.001,0.014874770360164935,0.08171763442173754,0.11529894955014691,0.14044000625089242
226.001,0.014808991666749899,0.08136924240262766,0.11481482622322187,0.1398599785887617
227.001,0.014743792012432588,0.08102378049722878,0.11433467750846515,0.1392845908747983
228.001,0.01467916378713019,0.08068121225169356,0.11385845560861876,0.13871378935130035
229.001,0.014615099513495045,0.08034150180829253,0.1133861134733107,0.13814752105803366
230.001,0.014551591844034595,0.08000461389340885,0.11291760478488255,0.1375857338181672
231.001,0.014488633558305153,0.07967051380581852,0.11245288394453076,0.13702837622448727
232.001,0.014426217560178506,0.07933916740524871,0.1119919060587505,0.13647539762588343
233.001,0.01436433687517863,0.07901054110120612,0.11153462692607757,0.13592674811410052
234.001,0.014302984647886624,0.07868460184206841,0.11108100302411897,0.13538237851075283
235.001,0.014242154139411878,0.07836131710443137,0.11063099149686545,0.13484224035459216
